,1,2,3,4,5,6,7
0,9.0,10.0,10.378538608557145,9.0,17.5,8.5,10.775
1,11.5,12.08520510154864,11.702432088483368,12.75,13.667781130887839,12.97,12.485
2,15.75,12.603213783681653,12.207654702829364,12.5,14.255758197969683,10.72,13.879999999999999
3,16.0,13.0,13.388288154041751,10.0,20.0,14.75,13.222
4,9.25,12.25,10.014147189611649,9.0,9.0,12.5,13.039999999999997
5,19.0,17.0,17.76738230354657,20.0,20.0,20.0,20.0
6,9.0,9.0,11.0,9.0,10.0,13.75,9.1
7,11.5,10.812933451203108,10.461564065385618,9.0,12.223661409918657,12.5,11.14
8,9.75,9.61886726678732,9.296971153721278,9.5,10.868310510927115,10.48222986440702,10.52
9,17.5,17.5,17.111586951797516,20.0,19.962944731274188,18.1,15.460000000000003
10,17.5,16.7,14.0,11.0,17.6,15.9,17.842000000000002
11,10.0,12.0,15.0,13.25,19.5,10.75,10.15
12,9.0,10.0,8.86108224725574,9.0,9.5,10.04244345651659,10.0125
13,16.0,13.4,9.0,15.25,16.0,14.0,12.864999999999998
14,11.5,14.75,12.3,11.5,17.5,16.0,13.175
15,17.5,15.0,18.5,13.5,18.55,17.18,17.994999999999997
16,9.0,12.5,9.0,13.0,12.0,9.0,9.25
17,9.5,13.61,12.214145975201143,11.25,16.7,14.2,12.379999999999999
18,8.0,13.0,9.2,8.5,11.5,10.0,9.01
19,11.0,12.5,12.28795491726156,11.5,17.4,14.0,11.77
20,14.25,10.25,10.12647345844184,9.0,10.0,9.5,14.707000000000003
21,14.08,9.9,12.217059156537074,14.0,15.0,12.68,12.907999999999998
22,10.0,13.7,9.9,12.0,9.5,11.5,11.04
23,10.0,9.22082124067716,8.908750143383523,9.0,10.416499676343967,9.4,11.61
24,15.0,11.0,11.890917094389692,11.0,16.6,10.5,15.419999999999998
25,18.5,18.1,16.83628526353025,17.0,19.75,17.5,17.439999999999998
26,16.25,15.34,10.0,18.5,15.0,18.44,16.335
27,9.75,16.15,14.442235512299382,18.0,19.5,16.1,15.580000000000002
28,10.0,13.7,9.3,11.25,14.0,17.2,15.285
29,8.5,9.0,9.153673213486893,10.0,12.5,8.5,11.88
30,18.25,10.5,13.331230681715292,13.0,15.563373672712723,15.75,15.560000000000002
31,17.0,19.45,16.55090906948797,19.0,17.0,18.75,17.2
32,10.0,9.0,9.218732629252333,11.0,10.0,9.0,13.888
33,9.75,14.0,11.284581247614549,11.652378462182435,13.18148715885381,11.6,9.75
34,10.5,11.0,10.844790143095844,12.0,14.0,10.75,14.5
35,14.5,14.173148206826937,13.738838254323516,16.0,16.037746549652873,13.6,13.214999999999998
36,10.0,9.5,9.9,11.0,10.8,13.13,13.0
37,10.0,11.6,10.614409818473524,10.0,15.5,9.0,12.629999999999999
38,13.0,10.835652341819277,10.483722183015766,9.0,12.249448982854389,11.0,13.545000000000002
39,11.0,10.5,10.29813082347138,11.1,12.6,10.25,13.363
40,16.0,12.0,9.5,10.0,14.1,10.0,12.75
41,18.0,17.25,14.207495028365988,11.5,19.8,13.12,17.26
42,11.75,18.5,15.0,10.0,20.0,19.7,14.6
43,16.5,13.6,13.5,12.5,17.0,15.75,14.997
44,11.25,15.0,15.75,13.25,20.0,16.7,13.6
45,11.75,9.5,9.54362562147174,10.0,9.5,10.0,12.364999999999998
46,9.5,11.3,9.2,9.0,9.0,9.0,11.8
47,16.0,15.842167831669885,15.366661276103303,16.5,16.5,18.25,18.975
48,10.5,9.75,9.066771223304345,9.5,9.7,9.0,11.45
49,12.3,13.7,12.11241374015962,9.0,18.3,12.0,13.718
50,13.5,16.8,10.0,13.0,13.85,14.5,17.07
51,10.0,16.5,12.728701620955249,10.0,14.862151558109105,17.2,16.935
52,18.0,17.0,17.413688801333635,19.25,20.0,20.0,17.4
53,20.0,15.384000784628554,14.91980321889806,12.75,17.412151211043216,17.25,17.775
54,10.25,14.7,11.0,11.5,14.0,14.41,12.14
55,20.0,17.619493609123882,17.10011711729182,16.0,19.94959616083994,20.0,17.924999999999997
56,17.75,17.133380475166575,16.626002769643158,17.75,19.39782283225934,17.5,15.25
57,17.1,16.59,16.550365430688302,19.25,19.30979624861537,17.6,16.52
58,11.5,12.6,9.5,13.95,16.7,12.0,11.15
59,16.5,18.0,16.403937399389577,16.0,20.0,18.5,15.76
60,18.5,11.2,12.0,13.0,14.95,16.0,14.73
61,17.75,11.0,14.439836415035927,15.0,20.0,16.25,16.945
62,17.5,13.3,15.090575545632898,16.0,19.1,16.5,18.53
63,12.0,11.0,12.135522612052242,15.5,13.6,13.25,12.834999999999999
64,19.0,15.0,12.5,17.45,20.0,17.3,15.560000000000002
65,19.5,12.25,14.60252837686932,16.5,20.0,14.0,15.675
66,15.75,11.9,10.906244134014807,10.25,9.0,10.0,15.12
67,16.0,12.5,13.0,14.25,11.2,11.85,14.310000000000002
68,14.25,11.652914613408756,11.280811876104654,11.0,13.177100371837163,10.5,13.870000000000001
69,18.0,12.7,9.5,15.0,16.5,17.9,17.095
70,13.6,12.429407522051111,12.038138521113826,10.0,14.058475605073404,14.5,14.59
71,14.75,13.6,10.0,12.5,19.0,13.6,16.72
72,13.0,14.350516650451977,13.911828692286317,15.5,16.23907247501399,15.9,13.539999999999997
73,5.25,9.5,9.353209586877988,9.0,13.0,11.0,9.32
